date,Ahvaz,Arak,Ardabil,Bandar `Abbas,Bandar-e Bushehr,Birjand,Bojnurd,Esfahan
16-06-1905 00:00,0,0.900000036,20.80000114,0.200000003,0,1.200000048,5,0
16-07-1905 00:00,0,0.5,92.59999847,0.900000036,0,0.600000024,7.200000286,0
16-08-1905 00:00,0,1.100000024,71.20000458,2.600000143,0,0.800000012,12.80000019,0.200000003
16-09-1905 00:00,0.100000001,0.200000003,26,0.699999988,0,0,0.100000001,0
16-10-1905 00:00,3.400000095,7,59.60000229,1.5,0,2.299999952,1.100000024,0
16-11-1905 00:00,18.30000114,14.69999981,51.79999924,5.5,2,8.100000381,11.90000057,1.399999976
16-12-1905 00:00,44.20000076,36,63.40000153,25.20000076,76.90000153,19.70000076,26.5,12
16-01-1906 00:00,85.90000153,94.09999847,35.60000229,38.90000153,71.59999847,30.89999962,40.40000153,47
15-02-1906 00:00,48.20000076,71.90000153,45,45.60000229,51.70000076,32.40000153,19.70000076,31
16-03-1906 00:00,20.60000038,36.40000153,32.40000153,35.20000076,16.89999962,38.79999924,65.5,9.5
16-04-1906 00:00,25.89999962,76.90000153,34.90000153,12.90000057,9,35,57.40000153,34.70000076
16-05-1906 00:00,8.100000381,72.80000305,30.39999962,5.200000286,1.800000072,11.30000019,118.5,32
16-06-1906 00:00,0,6,77.90000153,0.200000003,0,1.399999976,38.20000076,0.800000012
16-07-1906 00:00,0,0.5,48.60000229,0.900000036,0,0.600000024,7.300000191,0
16-08-1906 00:00,0,0.200000003,53.60000229,2.600000143,0,1.100000024,6.800000191,0
16-09-1906 00:00,0.100000001,0.100000001,66.30000305,0.699999988,0,0,0.600000024,0
16-10-1906 00:00,4.599999905,14.80000019,37.70000076,1.5,0,2.299999952,5.099999905,3.700000048
16-11-1906 00:00,53.60000229,75.80000305,69.59999847,5.5,49.10000229,8.300000191,15.80000019,36.20000076
16-12-1906 00:00,38.90000153,54.20000076,85.40000153,25.20000076,4.099999905,20.80000114,27.80000114,16.5
16-01-1907 00:00,38.79999924,22.10000038,40.10000229,38.90000153,5.599999905,30.60000038,42.60000229,2.200000048
15-02-1907 00:00,79.5,107.4000015,29.30000114,45.60000229,106,32.70000076,18.60000038,55.20000076
16-03-1907 00:00,31.20000076,64.40000153,63.90000153,35.20000076,3.900000095,36.60000229,67.59999847,32.90000153
16-04-1907 00:00,21.20000076,50.60000229,39.70000076,12.90000057,11.80000019,35.29999924,86.90000153,15.80000019
16-05-1907 00:00,5.900000095,52.79999924,45.40000153,5.200000286,1.700000048,10.90000057,85.80000305,18.89999962
16-06-1907 00:00,0,2.400000095,10.40000057,0.200000003,0,1.200000048,1.100000024,1
16-07-1907 00:00,0,0.200000003,8.400000572,0.900000036,0,0.600000024,0.100000001,0
16-08-1907 00:00,0,0.5,87.5,2.600000143,0,0.699999988,0.100000001,0
16-09-1907 00:00,0.100000001,0.100000001,65.20000458,0.699999988,0,0,0.100000001,0
16-10-1907 00:00,6.800000191,33.70000076,94.40000153,1.5,0.100000001,2.400000095,8.400000572,10
16-11-1907 00:00,24.39999962,20.80000114,91.40000153,5.5,10.69999981,8,15,6.900000095
16-12-1907 00:00,38.60000229,41.60000229,35.60000229,25.20000076,15.5,18.30000114,1.399999976,10.90000057
16-01-1908 00:00,96.40000153,105.9000015,60.10000229,38.90000153,99.70000458,31,36.5,52.79999924
15-02-1908 00:00,28.20000076,23.70000076,25.20000076,45.60000229,2.400000095,31.30000114,17.80000114,9.100000381
16-03-1908 00:00,33.20000076,77.30000305,73.90000153,35.20000076,8.199999809,35.40000153,33,36.90000153
